,club_name,long_name,player_face_url,club_logo_url,nation_flag_url
708,RCD Mallorca,Jaume Vicent Costa Jordá,https://cdn.sofifa.net/players/193/171/22_120.png,https://cdn.sofifa.net/teams/453/60.png,https://cdn.sofifa.net/flags/es.png
228,Valencia CF,Gabriel Armando de Abreu,https://cdn.sofifa.net/players/201/305/22_120.png,https://cdn.sofifa.net/teams/461/60.png,https://cdn.sofifa.net/flags/br.png
548,Leeds United,Rodrigo Moreno Machado,https://cdn.sofifa.net/players/198/329/22_120.png,https://cdn.sofifa.net/teams/8/60.png,https://cdn.sofifa.net/flags/es.png
1521,Galatasaray SK,Sofiane Feghouli,https://cdn.sofifa.net/players/184/881/22_120.png,https://cdn.sofifa.net/teams/325/60.png,https://cdn.sofifa.net/flags/dz.png
2533,Levante Unión Deportiva,Shkodran Mustafi,https://cdn.sofifa.net/players/192/227/22_120.png,https://cdn.sofifa.net/teams/1853/60.png,https://cdn.sofifa.net/flags/de.png
3929,Racing Club,Lucas Alfonso Orbán Alegre,https://cdn.sofifa.net/players/191/488/22_120.png,https://cdn.sofifa.net/teams/101085/60.png,https://cdn.sofifa.net/flags/ar.png
62,Manchester City,João Pedro Cavaco Cancelo,https://cdn.sofifa.net/players/210/514/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/pt.png
247,Atlético de Madrid,Rodrigo Javier De Paul,https://cdn.sofifa.net/players/212/616/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/ar.png
2637,Damac FC,Filipe Augusto Carvalho Souza,https://cdn.sofifa.net/players/207/733/22_120.png,https://cdn.sofifa.net/teams/113217/60.png,https://cdn.sofifa.net/flags/br.png
309,Unión Deportiva Las Palmas,Jonathan Viera Ramos,https://cdn.sofifa.net/players/198/164/22_120.png,https://cdn.sofifa.net/teams/472/60.png,https://cdn.sofifa.net/flags/es.png
