,x,y,player_name,team,position,foot,goals,agg_position
2521,7.3073626,3.196033,Javier Ignacio Aquino Carmona,Rayo Vallecano,Left Midfield,Right Foot,0.0,Left Wing
2522,3.5508113,3.6959066,Joaquín José Marín Ruiz,Rayo Vallecano,Right Back,Right Foot,0.0,Right Back
2523,8.245791,8.759725,Antonio Amaya Carazo,Real Betis,Right Center Back,Right Foot,0.0,Center Back
2524,7.6423364,7.9684324,Abdoulaye Ba,Rayo Vallecano,Right Center Back,Right Foot,0.0,Center Back
2525,-2.0028944,8.084312,Cristian Darío Álvarez,Espanyol,Goalkeeper,Right Foot,0.0,Goalkeeper
2526,6.852538,2.4260387,Roberto Trashorras Gayoso,Rayo Vallecano,Left Center Midfield,Right Foot,0.0,Center Midfield
2527,3.4189644,9.259541,Emiliano Adrián Insúa Zapata,Rayo Vallecano,Left Back,Left Foot,0.0,Left Back
2528,8.628027,3.9619675,Luis Carlos Pereira Carneiro,Rayo Vallecano,Left Wing,Right Foot,0.0,Left Wing
2529,3.156458,6.5934267,Gaël Kakuta,Rayo Vallecano,Right Wing,Left Foot,0.0,Right Wing
2530,3.1394947,3.2534122,Roberto Román Triguero,Rayo Vallecano,Right Back,Right Foot,0.0,Right Back
2531,7.5704923,3.5697968,Jozabed Sánchez Ruiz,Celta Vigo,Left Center Midfield,Right Foot,0.0,Center Midfield
2532,9.168931,3.0646975,Alberto Bueno Calvo,Rayo Vallecano,Center Attacking Midfield,Right Foot,0.2,Attacking Midfield
2533,9.725068,2.3676534,Leonardo Carrilho Baptistão,Espanyol,Center Forward,Right Foot,0.0,Striker
2534,4.8306136,6.5631914,Luís Carlos Ramos Martins,Granada,Left Center Forward,Left Foot,0.0,Striker
2535,3.05236,6.4026155,Francisco Medina Luna,Rayo Vallecano,Center Attacking Midfield,Left Foot,0.0,Attacking Midfield
2536,7.9297776,5.5228596,Eddy Silvestre Pascual İsrafilov,Granada,Left Defensive Midfield,Right Foot,0.0,Defensive Midfield
